date,1. open,2. high,3. low,4. close,5. volume
2025-09-02,4314.87,4319.2,4299.44,4303.11,2106.20993235
2025-09-01,4391.9,4490.0,4209.01,4314.76,119463.39453363
2025-08-31,4374.48,4498.95,4373.06,4391.91,83463.56830359
2025-08-30,4360.21,4415.29,4257.17,4374.58,66655.29676488
2025-08-29,4511.3,4516.95,4268.0,4360.2,187412.576106
2025-08-28,4506.95,4635.0,4428.0,4511.3,139168.54135212
2025-08-27,4601.63,4664.43,4481.39,4506.95,182804.11996722
2025-08-26,4377.02,4634.71,4311.68,4601.64,241823.89422103
2025-08-25,4779.52,4797.7,4335.66,4377.02,257426.71057578
2025-08-24,4776.73,4955.9,4710.0,4779.87,158333.15493157
2025-08-23,4830.18,4830.91,4660.55,4776.73,97399.85594592
2025-08-22,4224.17,4886.1,4204.86,4831.24,382321.64289869
2025-08-21,4336.42,4340.41,4203.81,4224.43,135477.16502351
2025-08-20,4075.13,4378.23,4062.24,4336.41,204393.53249278
2025-08-19,4315.95,4356.88,4066.2,4075.89,266984.37093954
2025-08-18,4475.47,4484.57,4227.01,4315.37,224168.99724414
2025-08-17,4425.49,4577.71,4397.65,4475.47,104186.64462627
2025-08-16,4442.55,4495.15,4376.02,4425.13,81370.11239552
2025-08-15,4550.83,4671.6,4370.0,4442.56,241688.82570246
2025-08-14,4751.54,4792.0,4446.15,4550.59,344363.7591017
2025-08-13,4589.71,4786.36,4562.87,4751.46,324934.36944854
2025-08-12,4224.45,4638.0,4219.92,4589.88,344450.27634218
2025-08-11,4251.89,4365.97,4165.86,4224.48,256938.33538629
2025-08-10,4262.45,4333.13,4161.16,4251.91,135684.68640911
2025-08-09,4010.72,4326.34,4007.14,4262.46,201072.28837789
2025-08-08,3910.92,4071.21,3880.19,4011.0,283924.61832068
2025-08-07,3683.78,3928.65,3647.87,3911.28,215879.45364256
2025-08-06,3611.79,3699.81,3563.44,3683.8,123751.95784805
2025-08-05,3720.86,3721.53,3546.05,3611.57,114099.28155356
